Fri Jan 15 04:47:37 2021 Fold 3, Epoch 7, lr: 0.0001949, train loss: 0.56742, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 04:49:14 2021 Fold 3, Epoch 8, lr: 0.0001927, train loss: 0.30450, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 04:50:48 2021 Fold 3, Epoch 9, lr: 0.0001901, train loss: 0.19244, valid loss: 2.55952, Acc: 97.5758, AUC: 0.024242.
Fri Jan 15 04:52:17 2021 Fold 3, Epoch 10, lr: 0.0001871, train loss: 0.15738, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 04:53:47 2021 Fold 3, Epoch 11, lr: 0.0001838, train loss: 0.13607, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 04:55:14 2021 Fold 3, Epoch 12, lr: 0.0001801, train loss: 0.09526, valid loss: 1.48810, Acc: 98.4848, AUC: 0.015152.
Fri Jan 15 04:56:41 2021 Fold 3, Epoch 13, lr: 0.0001761, train loss: 0.05277, valid loss: 1.19048, Acc: 98.7879, AUC: 0.012121.
Fri Jan 15 04:58:08 2021 Fold 3, Epoch 14, lr: 0.0001718, train loss: 0.06224, valid loss: 3.75000, Acc: 96.3636, AUC: 0.036364.
Fri Jan 15 04:59:35 2021 Fold 3, Epoch 15, lr: 0.0001672, train loss: 0.02697, valid loss: 3.45238, Acc: 96.6667, AUC: 0.033333.
Fri Jan 15 05:01:02 2021 Fold 3, Epoch 16, lr: 0.0001623, train loss: 0.06791, valid loss: 2.85714, Acc: 97.2727, AUC: 0.027273.
Fri Jan 15 05:02:29 2021 Fold 3, Epoch 17, lr: 0.0001572, train loss: 0.01974, valid loss: 2.26190, Acc: 97.8788, AUC: 0.021212.
Fri Jan 15 05:03:56 2021 Fold 3, Epoch 18, lr: 0.0001518, train loss: 0.03268, valid loss: 3.92857, Acc: 96.3636, AUC: 0.036364.
